Player,Salary,Season
Tyler Cavanaugh,"$77,250 ",2017-18
Tyler Cavanaugh,"$77,250 ",2018-19
Tyler Bey,"$449,115 ",2020-21
Ty Lawson,"$119,009 ",2017-18
Ty Jerome,"$2,193,480 ",2019-20
Ty Jerome,"$2,303,040 ",2020-21
Troy Williams,"$1,842,176 ",2017-18
Troy Williams,"$77,250 ",2018-19
Troy Williams,"$122,741 ",2020-21
Troy Daniels,"$3,408,520 ",2017-18
Troy Daniels,"$3,258,539 ",2018-19
Troy Daniels,"$458,439 ",2019-20
Troy Caupain,"$77,250 ",2018-19
Troy Brown,"$2,752,680 ",2018-19
Troy Brown,"$3,219,480 ",2019-20
Troy Brown,"$3,372,840 ",2020-21
Tristan Thompson,"$16,400,000 ",2017-18
Tristan Thompson,"$17,469,565 ",2018-19
Tristan Thompson,"$18,539,130 ",2019-20
Tristan Thompson,"$9,258,000 ",2020-21
Trey McKinney-Jones,"$46,079 ",2017-18
Trey Lyles,"$2,441,400 ",2017-18
Trey Lyles,"$3,364,249 ",2018-19
Trey Lyles,"$5,500,000 ",2019-20
Trey Lyles,"$5,500,000 ",2020-21
Trey Burke,"$784,160 ",2017-18
Trey Burke,"$1,795,015 ",2018-19
Trey Burke,"$229,220 ",2019-20
Trey Burke,"$3,000,000 ",2020-21
Trevor Booker,"$9,571,137 ",2017-18
Trevor Ariza,"$7,400,000 ",2017-18
Trevor Ariza,"$15,000,000 ",2018-19
Trevor Ariza,"$12,200,000 ",2019-20
Trevor Ariza,"$12,800,000 ",2020-21
Trevon Duval,"$77,250 ",2018-19
Trevon Bluiett,"$77,250 ",2018-19
Treveon Graham,"$1,312,611 ",2017-18
Treveon Graham,"$1,512,601 ",2018-19
Treveon Graham,"$1,645,357 ",2019-20
Trent Forrest,"$470,690 ",2020-21
Tremont Waters,"$79,568 ",2019-20
Tremont Waters,"$712,278 ",2020-21
Tre Jones,"$898,310 ",2020-21
Travis Wear,"$304,051 ",2017-18
Trae Young,"$5,363,280 ",2018-19
Trae Young,"$6,273,000 ",2019-20
Trae Young,"$6,571,800 ",2020-21
Torrey Craig,"$77,250 ",2017-18
Torrey Craig,"$2,000,000 ",2018-19
Torrey Craig,"$2,000,000 ",2019-20
Torrey Craig,"$1,678,854 ",2020-21
Tony Snell,"$9,821,429 ",2017-18
Tony Snell,"$10,607,143 ",2018-19
Tony Snell,"$11,392,857 ",2019-20
Tony Snell,"$12,178,571 ",2020-21
Tony Parker,"$15,453,126 ",2017-18
Tony Parker,"$5,000,000 ",2018-19
Tony Bradley,"$1,414,920 ",2017-18
Tony Bradley,"$1,679,520 ",2018-19
Tony Bradley,"$1,962,360 ",2019-20
Tony Bradley,"$3,542,060 ",2020-21
Tony Allen,"$1,471,382 ",2017-18
Tomáš Satoranský,"$3,000,000 ",2017-18
Tomáš Satoranský,"$3,129,187 ",2018-19
Tomáš Satoranský,"$10,000,000 ",2019-20
Tomáš Satoranský,"$10,000,000 ",2020-21
Tobias Harris,"$16,000,000 ",2017-18
Tobias Harris,"$14,800,000 ",2018-19
Tobias Harris,"$32,742,000 ",2019-20
Tobias Harris,"$34,358,850 ",2020-21
TJ Warren,"$3,152,930 ",2017-18
TJ Warren,"$11,750,000 ",2018-19
TJ Warren,"$11,060,000 ",2019-20
TJ Warren,"$12,000,000 ",2020-21
TJ McConnell,"$1,471,382 ",2017-18
TJ McConnell,"$1,600,520 ",2018-19
TJ McConnell,"$3,500,000 ",2019-20
TJ McConnell,"$3,500,000 ",2020-21
TJ Leaf,"$2,028,360 ",2017-18
TJ Leaf,"$2,407,560 ",2018-19
TJ Leaf,"$2,813,280 ",2019-20
TJ Leaf,"$4,431,423 ",2020-21
Timothe Luwawu,"$1,594,590 ",2017-18
Timothe Luwawu,"$1,880,268 ",2018-19
Timothe Luwawu,"$837,583 ",2019-20
Timothe Luwawu,"$1,824,003 ",2020-21
Timofey Mozgov,"$15,280,000 ",2017-18
Timofey Mozgov,"$16,000,000 ",2018-19
Timofey Mozgov,"$5,573,333 ",2020-21
Tim Quarterman,"$96,406 ",2017-18
Tim Hardaway,"$16,500,000 ",2017-18
Tim Hardaway,"$17,325,000 ",2018-19
Tim Hardaway,"$20,025,127 ",2019-20
Tim Hardaway,"$18,975,000 ",2020-21
Tim Frazier,"$2,000,000 ",2017-18
Tim Frazier,"$1,832,107 ",2018-19
